bin,normalized_position,layer,subspace_rank,mean_complied,mean_refused,mean_diff,cohens_d
3,0.35,26,1,-8.026376,-8.58417,0.557794,0.19586
3,0.35,26,2,-7.091998,-8.225733,1.133735,0.348658
3,0.35,26,3,-11.971657,-12.033899,0.062242,0.019632
3,0.35,26,4,-15.443681,-15.615485,0.171804,0.053353
3,0.35,28,0,-1.896183,-2.492944,0.596761,0.123523
3,0.35,28,1,-10.951893,-11.545113,0.59322,0.147077
3,0.35,28,2,-9.812505,-11.494797,1.682292,0.368266
3,0.35,28,3,-15.466908,-15.850936,0.384028,0.077973
3,0.35,28,4,-20.16071,-20.6292,0.46849,0.090474
3,0.35,29,0,-1.32359,-2.301255,0.977665,0.172286
3,0.35,29,1,-12.569367,-13.155711,0.586344,0.12211
3,0.35,29,2,-10.609864,-12.914063,2.304199,0.419719
3,0.35,29,3,-18.164986,-18.693964,0.528978,0.090289
3,0.35,29,4,-23.956032,-24.587817,0.631785,0.102122
4,0.45,2,0,0.116733,0.097049,0.019684,0.110316
4,0.45,2,1,-0.3455,-0.433013,0.087513,0.255954
4,0.45,2,2,-0.504539,-0.500477,-0.004062,-0.020789
4,0.45,2,3,-0.530452,-0.572733,0.042281,0.162502
4,0.45,2,4,-0.900193,-0.947835,0.047642,0.157113
4,0.45,22,0,-0.811982,-0.682208,-0.129774,-0.083843
4,0.45,22,1,-4.482483,-4.835301,0.352818,0.202263
4,0.45,22,2,-4.612327,-4.956928,0.344601,0.184727
4,0.45,22,3,-7.788709,-7.678743,-0.109966,-0.069755
4,0.45,22,4,-9.865684,-9.834032,-0.031652,-0.019585
4,0.45,26,0,-1.814111,-1.818285,0.004174,0.001221
4,0.45,26,1,-8.085531,-8.721413,0.635882,0.227281
4,0.45,26,2,-7.295213,-7.99929,0.704077,0.217702
4,0.45,26,3,-12.067795,-11.910971,-0.156824,-0.04971
4,0.45,26,4,-15.515631,-15.48293,-0.032701,-0.010207
4,0.45,28,0,-2.114828,-2.310181,0.195353,0.040454
4,0.45,28,1,-11.044123,-11.739935,0.695812,0.176494
4,0.45,28,2,-10.094025,-11.16975,1.075725,0.236663
4,0.45,28,3,-15.748423,-15.797045,0.048622,0.009964
4,0.45,28,4,-20.38372,-20.5468,0.16308,0.031779
4,0.45,29,0,-1.592936,-2.104362,0.511426,0.090287
4,0.45,29,1,-12.72815,-13.361217,0.633067,0.134438
4,0.45,29,2,-10.909292,-12.485121,1.575829,0.2899
4,0.45,29,3,-18.519359,-18.719817,0.200458,0.034481
4,0.45,29,4,-24.259351,-24.664876,0.405525,0.066141
5,0.55,2,0,0.112125,0.096829,0.015296,0.087317
5,0.55,2,1,-0.356777,-0.439049,0.082272,0.24322
5,0.55,2,2,-0.50464,-0.502693,-0.001947,-0.010063
5,0.55,2,3,-0.53584,-0.573858,0.038018,0.147025
5,0.55,2,4,-0.90637,-0.949434,0.043064,0.143068
5,0.55,22,0,-0.663042,-0.717888,0.054846,0.03465
5,0.55,22,1,-4.506389,-4.789027,0.282638,0.161333
5,0.55,22,2,-4.522235,-5.059771,0.537536,0.288748
5,0.55,22,3,-7.658273,-7.664551,0.006278,0.003876
5,0.55,22,4,-9.733681,-9.810396,0.076715,0.046332
5,0.55,26,0,-1.476819,-1.858895,0.382076,0.107864
5,0.55,26,1,-8.100898,-8.584511,0.483613,0.172663
5,0.55,26,2,-7.05122,-8.092752,1.041532,0.318325
5,0.55,26,3,-11.83046,-11.886022,0.055562,0.017041
5,0.55,26,4,-15.276721,-15.438403,0.161682,0.049251
5,0.55,28,0,-1.700827,-2.393717,0.69289,0.139024
5,0.55,28,1,-11.087049,-11.638388,0.551339,0.140512
5,0.55,28,2,-9.74668,-11.317469,1.570789,0.343024
