prompt_type,time_point,layer,rank,n,mean,std
harmless,endofthink,23,1,49,13.371361,3.821319
harmless,endofthink,23,2,49,14.675939,4.446618
harmless,endofthink,23,3,49,-0.324155,3.018518
harmless,endofthink,23,4,49,18.712445,3.905973
harmless,endofthink,26,0,49,14.29516,1.103632
harmless,endofthink,26,1,49,14.023775,4.395084
harmless,endofthink,26,2,49,14.934047,4.694644
harmless,endofthink,26,3,49,2.36881,6.013444
harmless,endofthink,26,4,49,19.933315,4.33336
harmless,startofthink,3,0,49,1.237121,0.328206
harmless,startofthink,3,1,49,-0.524934,0.061984
harmless,startofthink,3,2,49,-0.066435,0.07493
harmless,startofthink,3,3,49,0.098764,0.075187
harmless,startofthink,3,4,49,-0.590253,0.069944
harmless,startofthink,21,0,49,7.406967,0.455805
harmless,startofthink,21,1,49,-5.01351,0.964592
harmless,startofthink,21,2,49,0.560618,0.856583
harmless,startofthink,21,3,49,-1.111672,0.775662
harmless,startofthink,21,4,49,-3.486779,1.004476
harmless,startofthink,22,0,49,5.981809,0.804373
harmless,startofthink,22,1,49,-2.938686,0.951687
harmless,startofthink,22,2,49,0.691607,1.466722
harmless,startofthink,22,3,49,-0.469504,1.126621
harmless,startofthink,22,4,49,-1.253197,1.234589
harmless,startofthink,23,0,49,6.312909,0.778999
harmless,startofthink,23,1,49,-3.452212,1.059388
harmless,startofthink,23,2,49,0.113499,1.571432
harmless,startofthink,23,3,49,-0.550801,1.143318
harmless,startofthink,23,4,49,-1.560451,1.332407
harmless,startofthink,26,0,49,6.913287,0.806881
harmless,startofthink,26,1,49,-3.867544,1.288462
harmless,startofthink,26,2,49,1.206548,1.555969
harmless,startofthink,26,3,49,-2.994366,1.288353
harmless,startofthink,26,4,49,-1.440914,1.470075
puzzle_attack,endofresponse,3,0,129,1.883954,0.26939
puzzle_attack,endofresponse,3,1,129,-1.130623,0.104515
puzzle_attack,endofresponse,3,2,129,-0.453638,0.10994
puzzle_attack,endofresponse,3,3,129,-0.746552,0.082583
puzzle_attack,endofresponse,3,4,129,-0.910305,0.104047
puzzle_attack,endofresponse,21,0,129,3.875876,0.347767
puzzle_attack,endofresponse,21,1,129,-11.43871,2.072429
puzzle_attack,endofresponse,21,2,129,-10.653324,1.917228
puzzle_attack,endofresponse,21,3,129,-11.208382,1.37714
puzzle_attack,endofresponse,21,4,129,-9.410553,1.89635
puzzle_attack,endofresponse,22,0,129,3.791047,0.415916
puzzle_attack,endofresponse,22,1,129,-12.244897,2.30206
puzzle_attack,endofresponse,22,2,129,-12.581328,2.848726
puzzle_attack,endofresponse,22,3,129,-13.806423,2.035886
puzzle_attack,endofresponse,22,4,129,-11.000911,2.922471
puzzle_attack,endofresponse,23,0,129,3.935694,0.426999
puzzle_attack,endofresponse,23,1,129,-12.875074,2.3381
puzzle_attack,endofresponse,23,2,129,-15.858003,3.443749
puzzle_attack,endofresponse,23,3,129,-16.612105,2.437548
puzzle_attack,endofresponse,23,4,129,-11.567792,2.884276
puzzle_attack,endofresponse,26,0,129,3.100903,0.590201
puzzle_attack,endofresponse,26,1,129,-17.395868,2.251683
puzzle_attack,endofresponse,26,2,129,-21.49324,3.531954
puzzle_attack,endofresponse,26,3,129,-42.112106,4.360669
puzzle_attack,endofresponse,26,4,129,-16.081386,2.777904
puzzle_attack,endofthink,3,0,129,3.837258,1.390485
puzzle_attack,endofthink,3,1,129,-0.669307,0.123319
puzzle_attack,endofthink,3,2,129,-0.002497,0.088685
puzzle_attack,endofthink,3,3,129,-0.282445,0.075811
puzzle_attack,endofthink,3,4,129,-0.513012,0.098839
puzzle_attack,endofthink,21,0,129,10.085449,0.795495
puzzle_attack,endofthink,21,1,129,-2.427906,8.729161
puzzle_attack,endofthink,21,2,129,-6.185813,6.454827
puzzle_attack,endofthink,21,3,129,-10.844786,3.839921
puzzle_attack,endofthink,21,4,129,-1.801886,7.234468
puzzle_attack,endofthink,22,0,129,10.175026,0.776506
puzzle_attack,endofthink,22,1,129,-2.736819,8.489854
puzzle_attack,endofthink,22,2,129,-4.409679,8.736148
puzzle_attack,endofthink,22,3,129,-10.30901,5.182957
puzzle_attack,endofthink,22,4,129,1.257408,9.980355
