layer,progress_bin,bin_start_fraction,bin_end_fraction,subset,n_success,n_failure,success_mean,failure_mean,success_std,failure_std,mean_difference,cohen_d,hedges_g,success_ci_low,success_ci_high,failure_ci_low,failure_ci_high,mann_whitney_u,mann_whitney_p,permutation_p,bootstrap_ci_low,bootstrap_ci_high,mann_whitney_q_bh,n_judge_success,n_judge_failure,judge_success_mean,judge_failure_mean
0,0,0.0,0.1,all,19,22,0.0029900008310393337,0.0073969736959541175,0.004380705196222081,0.0037408458635990295,-0.004406972864914784,-1.088477226290581,-1.0674099251365698,0.001089753842458259,0.0049754845735117854,0.005908543867195764,0.008840315557497001,103.0,0.005811549664936521,0.0012998700129987,-0.00673183944201652,-0.0018997640342605564,0.008185281218220451,4,37,0.0056223336851919745,0.00532578655026946
0,0,0.0,0.1,excl_censored,19,21,0.0029900008310393337,0.007317246609136975,0.004380705196222081,0.003814025580743398,-0.0043272457780976405,-1.0574255499199952,-1.0364170952858232,0.0012780171171812838,0.0049633806625655925,0.005724548778827692,0.008835374473012959,99.0,0.006760919251259012,0.0029997000299970002,-0.006643629444255356,-0.0018385293353428813,0.009624084343429198,4,36,0.0056223336851919745,0.005221746106690441
0,1,0.1,0.2,all,19,22,0.0037638457884104394,0.007959281212339905,0.004841240210311644,0.003725390697708171,-0.004195435423929465,-0.9809915447630201,-0.9620046116385745,0.001720361825233302,0.005843298136226558,0.006358653556474535,0.009447785703511588,105.0,0.006811132003560291,0.0032996700329967,-0.006570404504602599,-0.0015874332672737123,0.009173241755636757,4,37,0.0048872135625278,0.006136983848680136
0,1,0.1,0.2,excl_censored,19,21,0.0037638457884104394,0.007954782079353781,0.004841240210311644,0.003817328260489779,-0.004190936290943342,-0.9673009714426302,-0.9480830713477435,0.001774050325695091,0.005989684004699412,0.006240870045132767,0.009407218614628027,101.0,0.00794899579919988,0.004899510048995101,-0.006697803731195895,-0.0015008737442781437,0.010889035341369698,4,36,0.0048872135625278,0.006083739983225459
0,2,0.2,0.3,all,19,22,0.003765044320094539,0.007679221343141577,0.0049506538825300345,0.0036898123503401456,-0.003914177023047038,-0.9065348205725084,-0.8889889853356211,0.0017161877368312606,0.0061721512793464104,0.006116569905282973,0.00915869539857699,114.0,0.01348711356572764,0.0057994200579942,-0.006414269770468279,-0.0011744473453685388,0.01629862666553189,4,37,0.005449135048203135,0.005910328957786443
0,2,0.2,0.3,excl_censored,19,21,0.003765044320094539,0.007572353328650939,0.0049506538825300345,0.003745881884752873,-0.0038073090085564004,-0.8735811319774883,-0.8562252154481342,0.0016649257665951173,0.00600686746270405,0.0059431435490893535,0.009069985904478812,110.0,0.015931854820559234,0.010198980101989802,-0.006446569288157123,-0.000991992186945492,0.01891021343686556,4,36,0.005449135048203135,0.005798853383073705
0,3,0.3,0.4,all,19,22,0.0032529024428706067,0.008493767444914332,0.004874161769048669,0.004160621334070269,-0.005240865002043725,-1.1635981646787814,-1.141076909878547,0.0013269272018281693,0.005649848223532123,0.006743382645221047,0.01007476171161059,102.0,0.005363128648524343,0.0012998700129987,-0.007846760751400231,-0.002442376407756556,0.007716731868380349,4,37,0.006409362340712186,0.006027853536211028
0,3,0.3,0.4,excl_censored,19,21,0.0032529024428706067,0.008523031057552463,0.004874161769048669,0.00426104758085704,-0.005270128614681856,-1.1552856530471103,-1.1323329579534591,0.001328113465271954,0.005657431992163564,0.006662220523703416,0.010207565080431328,98.0,0.006228927993530219,0.0006999300069993001,-0.008043041570072858,-0.002494462412736564,0.009160188225779733,4,36,0.006409362340712186,0.0059764263683415135
0,4,0.4,0.5,all,19,22,0.00382163690226859,0.009616730043444393,0.0054588810518882945,0.004506552352039836,-0.005795093141175803,-1.1662913425541914,-1.143717961730562,0.0016091109050808167,0.006324774106506661,0.007697794889487644,0.011379163574146978,90.0,0.0019476215396976057,0.0011998800119988001,-0.008763609615883159,-0.0024792192049155753,0.004015714514840424,4,37,0.00693342227555863,0.006930958729639063
0,4,0.4,0.5,excl_censored,19,21,0.00382163690226859,0.00966423073640615,0.0054588810518882945,0.004612195129333092,-0.005842593834137561,-1.1613069749341192,-1.1382346509288055,0.0016164325982203653,0.006384601962902091,0.00765066556187863,0.011442997663465631,86.0,0.0022097656717117685,0.0008999100089991,-0.008538414022172999,-0.002629223656920883,0.004777871722620041,4,36,0.00693342227555863,0.006884062708483274
0,5,0.5,0.6,all,19,22,0.005196088807912528,0.008869886812966141,0.00545212993723248,0.004246228031422491,-0.0036737980050536127,-0.7590059425987412,-0.7443155050000558,0.0029567444464273437,0.007719863839111843,0.007059514888711583,0.010558390001080685,139.0,0.06921217155261075,0.0217978202179782,-0.006523825381655274,-0.0006245040642354377,0.07343466477730584,4,37,0.006101810118309143,0.007282593426009637
0,5,0.5,0.6,excl_censored,19,21,0.005196088807912528,0.0089266985702628,0.00545212993723248,0.004342512880736132,-0.0037306097623502725,-0.7614193122072205,-0.7462917762031035,0.002905569655460584,0.007689871699255632,0.007001481430676281,0.010620417176057688,134.0,0.07833022730194869,0.0245975402459754,-0.006613262857998809,-0.0007086464814415866,0.0831089944848262,4,36,0.006101810118309143,0.007271642134795008
0,6,0.6,0.7,all,19,22,0.00399344186472404,0.010207931349940068,0.0059158450795865295,0.004888975486675072,-0.006214489485216028,-1.1535460477610011,-1.131219350062401,0.0015360753607400926,0.00666096485326344,0.008227394796808757,0.012131811606047153,92.0,0.002320492605204538,0.0013998600139986002,-0.009426631220351372,-0.002740277002754284,0.004462485779239496,4,37,0.004726644597387374,0.0076092785605105075
0,6,0.6,0.7,excl_censored,19,21,0.00399344186472404,0.010262861109376242,0.0059158450795865295,0.005002747869129386,-0.006269419244652202,-1.149433572476773,-1.1265971438845193,0.0016637110944416704,0.006732673251259957,0.008095997534577178,0.01221779183272395,88.0,0.002644304406362379,0.0008999100089991,-0.009483355682710649,-0.0029620875507820493,0.005262297326094287,4,36,0.004726644597387374,0.007569136120475235
0,7,0.7,0.8,all,19,22,0.00432741660637678,0.010324062678573668,0.005348318076450487,0.005411322251381544,-0.005996646072196888,-1.114134668607232,-1.0925707717954791,0.0020164103030817088,0.006938096255892028,0.008108035930574667,0.012557460404590427,89.0,0.0017825908825435677,0.0022997700229977,-0.008891945815735642,-0.0028291517426682353,0.003813028625761642,4,37,0.006718841414827412,0.007634457534877564
0,7,0.7,0.8,excl_censored,19,21,0.00432741660637678,0.010317102663880688,0.005348318076450487,0.005544854364906918,-0.005989686057503908,-1.0984925793625073,-1.0766682234811331,0.0021427396392726668,0.006816970448321571,0.007839006281605911,0.012532808886169823,85.0,0.002017988592121406,0.0016998300169983002,-0.009170966356253352,-0.0025058249459192286,0.004484419093603124,4,36,0.006718841414827412,0.007555686272315101
0,8,0.8,0.9,all,19,22,0.00406713361085943,0.009761425381190602,0.004968711595429645,0.004521611094439031,-0.005694291770331172,-1.2030492109844744,-1.179764387546065,0.0019338797396536227,0.006417839743351484,0.007899756678335665,0.011549001427904916,95.0,0.003003459393580646,0.00039996000399960006,-0.008521652319274075,-0.0027210441504853565,0.0051561534653744995,4,37,0.005533614915436952,0.007294390198129042
0,8,0.8,0.9,excl_censored,19,21,0.00406713361085943,0.009740395049132529,0.004968711595429645,0.004632169975767979,-0.005673261438273098,-1.1832779092602455,-1.1597690766259359,0.0020439595119308637,0.00627221076978182,0.007664882176017883,0.01160334024564027,91.0,0.0034438069596774688,0.0004999500049995,-0.008471452339652824,-0.0025007797519240546,0.006041766595925383,4,36,0.005533614915436952,0.007213593749343457
0,9,0.9,1.0,all,19,22,0.0034380813588409027,0.009934295771799738,0.005114182449208442,0.004540616149392093,-0.006496214412958836,-1.3494873945592967,-1.3233682836968585,0.0014653466149064792,0.005833514889351127,0.008018361982004707,0.01176126940850167,70.0,0.000293475164563048,0.00019998000199980003,-0.009314623928861069,-0.003558217101451648,0.001924427308610151,4,37,0.004209711329496411,0.007217275877826641
0,9,0.9,1.0,excl_censored,19,21,0.0034380813588409027,0.00995479060724199,0.005114182449208442,0.0046517041912252765,-0.006516709248401087,-1.3364199591086066,-1.3098685691925416,0.0013620881967436986,0.005890731484057502,0.007934217563281066,0.011790577555565953,67.0,0.0003501162650486686,9.999000099990002e-05,-0.009459152789139044,-0.003415159531002161,0.0026423869060276874,4,36,0.004209711329496411,0.007153758423668703
1,0,0.0,0.1,all,19,22,0.26094538295283687,0.24991477232665285,0.01314829586569328,0.02230694876319098,0.011030610626184018,0.5915338945253357,0.5800848514054905,0.2551558417546587,0.26645790531707614,0.24129852060161341,0.2596789270973379,295.0,0.025394913667526966,0.0608939106089391,-6.275660101780766e-05,0.020928738799948037,0.02853361086238985,4,37,0.25765476989742525,0.2547423834513665
1,0,0.0,0.1,excl_censored,19,21,0.26094538295283687,0.25034011596812666,0.01314829586569328,0.02276622001236932,0.010605266984710204,0.5631235352193754,0.5519356504136924,0.2554087094405175,0.2666375581160949,0.24140073283699767,0.26066790734318207,277.0,0.037027083054220644,0.0851914808519148,-0.0011264047215504044,0.022018839407716654,0.04080119344817702,4,36,0.25765476989742525,0.2551246008845794
1,1,0.1,0.2,all,19,22,0.2631377539820092,0.2490403560556377,0.015508920538112392,0.026064629346805597,0.014097397926371519,0.6455945190805537,0.6330991412918977,0.2565373105439933,0.26979054702357763,0.2390638883903196,0.26030508066598246,307.0,0.010800936202851176,0.04559544045595441,0.00144340663755413,0.026310380421084596,0.013543493671286742,4,37,0.2569385492603158,0.2554257016713768
1,1,0.1,0.2,excl_censored,19,21,0.2631377539820092,0.2493930428535163,0.015508920538112392,0.026654451520483177,0.013744711128492931,0.6222831935116407,0.6099199512564426,0.25631279035548005,0.2699254876821739,0.23913042917354563,0.2613753101044517,289.0,0.015931854820559234,0.0608939106089391,-0.00015682476342030024,0.026134183035832384,0.01891021343686556,4,36,0.2569385492603158,0.25580880634835423
1,2,0.2,0.3,all,19,22,0.2621252503325515,0.24689205379280132,0.01584761617544451,0.02143516806065635,0.015233196539750193,0.7991844165775215,0.7837163310953759,0.255722582810184,0.2694530729403601,0.23860613711350181,0.25625159150260585,313.0,0.006811132003560291,0.014798520147985201,0.003407945783987404,0.026199162876904603,0.009173241755636757,4,37,0.25625650452127524,0.2537021330182434
1,2,0.2,0.3,excl_censored,19,21,0.2621252503325515,0.24708120828848182,0.01584761617544451,0.021945688565211525,0.0150440420440697,0.7795311370399591,0.7640437634563838,0.25566147203865386,0.26940703926175064,0.2381524727790339,0.25637734773637466,296.0,0.00932072835933322,0.015598440155984402,0.0029256070413278853,0.025969159089483027,0.012223906045027173,4,36,0.25625650452127524,0.2540016420080971
1,3,0.3,0.4,all,19,22,0.2609611024150033,0.25149398348209623,0.015063303608198554,0.01821011426985821,0.009467118932907082,0.5624808257292556,0.5515941000699797,0.2546778464361353,0.26782192953692285,0.24434926105762017,0.25867358878971697,291.0,0.033108551103037176,0.07979202079792021,-0.0008047430038430281,0.019261716448247302,0.03638302319015074,4,37,0.2612424958984778,0.25530158375398027
1,3,0.3,0.4,excl_censored,19,21,0.2609611024150033,0.2520932708459238,0.015063303608198554,0.01843617143961065,0.008867831569079498,0.5240259445641773,0.5136148330827698,0.25453113322612564,0.26773917578451745,0.2444872435094046,0.26009367352344726,273.0,0.04802699871964889,0.10848915108489152,-0.0018818890862049352,0.019190464097346715,0.052203259477879224,4,36,0.2612424958984778,0.2557569347237653
1,4,0.4,0.5,all,19,22,0.26048312047524114,0.25109079776253096,0.014654101949489576,0.015229569823357271,0.009392322712710177,0.6275472081127599,0.615401133117029,0.25455240056518674,0.2668386536358745,0.24546797771827586,0.2576226504111925,291.0,0.033108551103037176,0.051594840515948405,0.0009052055371723657,0.018362104007782758,0.03638302319015074,4,37,0.2536497539634079,0.2556372384851793
1,4,0.4,0.5,excl_censored,19,21,0.26048312047524114,0.2516019715352461,0.014654101949489576,0.015411060592839717,0.008881148939995032,0.5898256036750287,0.5781072141980413,0.25446278222387747,0.26691442229645856,0.24543108705732017,0.2584737396011864,272.0,0.05117069698454882,0.0725927407259274,0.00018778311689559153,0.018326694562466012,0.05531967241572846,4,36,0.2536497539634079,0.2560617132060033
1,5,0.5,0.6,all,19,22,0.2625177276792801,0.25052250290014116,0.017726168210526836,0.015613674647981213,0.011995224779138947,0.7216446293033767,0.7076773138975049,0.25492496892454813,0.2705621920548853,0.2441608624397004,0.2570272320405452,294.0,0.02716090572215357,0.025797420257974202,0.0017361666980793486,0.02178727496051857,0.030178784135726187,4,37,0.25563908334563823,0.25612906908991556
