window_size,layer,subset,n_success,n_failure,success_mean,failure_mean,success_std,failure_std,mean_difference,cohen_d,hedges_g,mann_whitney_u,mann_whitney_p,permutation_p,bootstrap_ci_low,bootstrap_ci_high,n_judge_success,n_judge_failure,judge_success_mean,judge_failure_mean
500,0,all,19,22,0.0029080361051631995,0.00670900620672513,0.004023665981813088,0.0033338564867483596,-0.0038009701015619306,-1.0361429596376828,-1.0160885797737276,88.0,0.0016305036228348349,0.0025997400259974,-0.005866993830091811,-0.0014739802832268779,4,37,0.004712048894609325,0.00497304397209774
500,0,excl_censored,19,21,0.0029080361051631995,0.006718892634580177,0.004023665981813088,0.00341585585180616,-0.0038108565294169778,-1.0254771907626021,-1.0051034717408285,85.0,0.002017988592121406,0.0025997400259974,-0.006019422064276494,-0.001557357506952827,4,36,0.004712048894609325,0.00493058988182909
500,1,all,19,22,0.26195102680670584,0.24929828602583573,0.012946686881054225,0.018395879469621863,0.012652740780870114,0.7853220324274007,0.7701222511546123,312.0,0.0073667083681546825,0.015598440155984402,0.0030713979224126484,0.022049950291724747,4,37,0.2552878659516573,0.25514811724565317
500,1,excl_censored,19,21,0.26195102680670584,0.24967948012479715,0.012946686881054225,0.018760921192598198,0.01227154668190869,0.7543392839704802,0.7393524107790137,294.0,0.010899867838734936,0.025997400259974,0.002538336978967651,0.021470414659853842,4,36,0.2552878659516573,0.25553297578170897
500,2,all,19,22,0.3836027891094747,0.35420001751794056,0.031142106908734275,0.04123899029824346,0.02940277159153415,0.7963140950519375,0.7809015641799645,305.0,0.012532478993508352,0.015798420157984203,0.007110416350671439,0.05003666462212362,4,37,0.368177048355341,0.36778770770414454
500,2,excl_censored,19,21,0.3836027891094747,0.3547375313476438,0.031142106908734275,0.042178347040324214,0.02886525776183091,0.7726394642938083,0.7572890113608187,288.0,0.017154059840394496,0.019598040195980403,0.006434506155108878,0.05079484336202532,4,36,0.368177048355341,0.36847869327664373
500,3,all,19,22,0.4540773606112129,0.4140699434134771,0.05051258326109191,0.05623376051043058,0.04000741719773582,0.7454466477291003,0.7310186480956338,288.0,0.04013746459766851,0.024697530246975304,0.009627064886277004,0.07125153527880021,4,37,0.42932851577550174,0.43296471739479814
500,3,excl_censored,19,21,0.4540773606112129,0.415011009311747,0.05051258326109191,0.05744467021514533,0.039066351299465896,0.7198313298092632,0.705530045111066,271.0,0.054484881629885414,0.032396760323967606,0.006983313284073482,0.0716634129535906,4,36,0.42932851577550174,0.4340385273349368
500,4,all,19,22,0.5565251550964619,0.49422750871154386,0.06343165286675671,0.07412465383404925,0.06229764638491808,0.8977321763486208,0.8803567148709055,311.0,0.007962602843590134,0.0064993500649935,0.02135526287019904,0.10166131739459179,4,37,0.5157916428223253,0.5238869342485796
500,4,excl_censored,19,21,0.5565251550964619,0.49537218817500833,0.06343165286675671,0.07575565851807592,0.06115296692145361,0.8712709456937044,0.8539609269050878,294.0,0.010899867838734936,0.0093990600939906,0.018828264993126793,0.09960064551986211,4,36,0.5157916428223253,0.5253785368671848
500,5,all,19,22,0.956723073415066,0.8374380284690044,0.10022637080663363,0.11662931846565655,0.11928504494606162,1.090707263915695,1.0695968007431331,328.0,0.0019476215396976057,0.0012998700129987,0.051674529392100266,0.18048492973985425,4,37,0.8851391393393279,0.8935356341580284
500,5,excl_censored,19,21,0.956723073415066,0.8398672232606581,0.10022637080663363,0.11893781995057243,0.11685585015440791,1.0578034976429833,1.0367875341136525,310.0,0.002889679595292828,0.0018998100189981002,0.04970011818473872,0.18285801504442192,4,36,0.8851391393393279,0.8965109312778546
500,6,all,19,22,1.2812530423277304,1.0419427659863774,0.16835668252276992,0.19452139334550714,0.23931027634135305,1.3083424226860256,1.283019666117909,339.0,0.0007099870380201763,9.999000099990002e-05,0.13033482784641,0.34157309712530515,4,37,1.139013779655099,1.1543376631704534
500,6,excl_censored,19,21,1.2812530423277304,1.0463991797736714,0.16835668252276992,0.19817099631819146,0.23485386255405905,1.2718901801861173,1.2466208388579163,321.0,0.0010485701095385488,0.00039996000399960006,0.11829457586725096,0.34879901559132886,4,36,1.139013779655099,1.1600593183570433
500,7,all,19,22,1.51384439997924,1.169235829320821,0.251624076763638,0.25267729977633313,0.344608570658419,1.3664546110578912,1.3400071024567708,339.0,0.0007099870380201763,0.0006999300069993001,0.1881199272854438,0.4883785903805287,4,37,1.3151918462961911,1.3304179583642934
500,7,excl_censored,19,21,1.51384439997924,1.175641863930793,0.251624076763638,0.2570800411519217,0.33820253604844686,1.328836775843451,1.3024360451975545,321.0,0.0010485701095385488,0.00039996000399960006,0.17970298806198107,0.4829235477314739,4,36,1.3151918462961911,1.3386320932490958
500,8,all,19,22,2.101771573054163,1.685886110275984,0.3356915807365271,0.3089242613209741,0.41588546277817917,1.2933555354045247,1.2683228476225017,326.0,0.002320492605204538,0.0006999300069993001,0.21294675794912218,0.5966313343532846,4,37,1.8515832067728042,1.8815357158651225
500,8,excl_censored,19,21,2.101771573054163,1.6932990279396374,0.3356915807365271,0.3145417826758309,0.4084725451145257,1.2578763970880085,1.232885475291558,310.0,0.002889679595292828,0.00039996000399960006,0.20590131958814895,0.6034251121058577,4,36,1.8515832067728042,1.891294629101952
500,9,all,19,22,2.6079109967413703,2.043020017000762,0.4058767687613419,0.38488805038528623,0.5648909797406083,1.4311404782115211,1.4034409850848464,348.0,0.000293475164563048,0.00019998000199980003,0.3158802507475874,0.7968264501772709,4,37,2.298138646066189,2.305518776428055
500,9,excl_censored,19,21,2.6079109967413703,2.053752836199034,0.4058767687613419,0.39100483906516725,0.5541581605423365,1.3919420717662612,1.3642875935192493,331.0,0.00038816904837232226,0.00039996000399960006,0.297582699854523,0.7830613703768837,4,36,2.298138646066189,2.31907121983336
500,10,all,19,22,3.058745969119825,2.515369032686406,0.39265432254769517,0.392570245807742,0.5433769364334187,1.3840153014927579,1.3572279085606398,341.0,0.0005860668055800342,0.00029997000299970003,0.2911715674738133,0.7710615372063363,4,37,2.7681453470885753,2.767073263351982
500,10,excl_censored,19,21,3.058745969119825,2.5270289781547723,0.39265432254769517,0.3983420926840583,0.5317169909650525,1.3438800326340266,1.3171804293366618,323.0,0.0008643278263233195,9.999000099990002e-05,0.28398392349900625,0.7505647275535533,4,36,2.7681453470885753,2.7808666823936834
500,11,all,19,22,3.287368056065158,2.7379019367315554,0.3818816724266285,0.37854402828730876,0.5494661193336028,1.4456282332205803,1.41764833193244,352.0,0.0001948745382146378,9.999000099990002e-05,0.3203476281043584,0.7609139582528804,4,37,2.9987726556658743,2.991857974342398
500,11,excl_censored,19,21,3.287368056065158,2.7499226767846516,0.3818816724266285,0.3835654470852202,0.5374453792805065,1.4040992610806138,1.3762032492710652,334.0,0.00028424439189605354,9.999000099990002e-05,0.3038808378608903,0.7656356023864798,4,36,2.9987726556658743,3.0059244070847826
500,12,all,19,22,3.2073065202110693,2.646063502951102,0.38218995021098817,0.3368628360814618,0.5612430172599674,1.5655493771901392,1.5352484215025881,360.0,8.329215913250309e-05,0.00019998000199980003,0.327690912897186,0.7569192493542458,4,37,2.925794331878424,2.9040282059843476
500,12,excl_censored,19,21,3.2073065202110693,2.6568031636817118,0.38218995021098817,0.34130050927039274,0.5505033565293576,1.5238991327771552,1.4936229910663508,342.0,0.0001200994498923692,9.999000099990002e-05,0.3134236354790615,0.7686160935962411,4,36,2.925794331878424,2.9174586942725713
500,13,all,19,22,3.2517533304252124,2.5721628151861107,0.41792076287740343,0.41407417005813596,0.6795905152391017,1.6342048177013615,1.6025750470361737,362.0,6.69102858897933e-05,9.999000099990002e-05,0.41286643148712004,0.9171738589419207,4,37,2.9082476986944674,2.8848082274971785
500,13,excl_censored,19,21,3.2517533304252124,2.5849528723046893,0.41792076287740343,0.41982313271599425,0.6668004581205231,1.5917013856972932,1.5600781793589364,344.0,9.615654461282442e-05,9.999000099990002e-05,0.41085820403225265,0.9054535342625568,4,36,2.9082476986944674,2.9009536889361005
500,14,all,19,22,3.345337577920211,2.5560793599432166,0.5510392099964442,0.4552208221129046,0.7892582179769945,1.573093229163742,1.542646263437992,361.0,7.467752166289718e-05,0.00019998000199980003,0.49020607911357583,1.0831890912837956,4,37,2.927593708157539,2.92121040720553
500,14,excl_censored,19,21,3.345337577920211,2.568745791123027,0.5510392099964442,0.4624728833870877,0.7765917867971841,1.5336750618381083,1.503204696371126,343.0,0.00010750072954928752,9.999000099990002e-05,0.4672792480789849,1.0702991827613204,4,36,2.927593708157539,2.9387416878177057
500,15,all,19,22,3.122662446288686,2.2999240844791586,0.6337661562275488,0.421050515012827,0.8227383618095274,1.5524976700044726,1.522449328004386,361.0,7.467752166289718e-05,9.999000099990002e-05,0.49859936440063024,1.1443824243805552,4,37,2.631250062137842,2.6865923267425718
500,15,excl_censored,19,21,3.122662446288686,2.31188103337515,0.6337661562275488,0.4276039496084831,0.8107814129135362,1.5147674660027715,1.4846727481351667,343.0,0.00010750072954928752,9.999000099990002e-05,0.4932422372611324,1.1466829678535502,4,36,2.631250062137842,2.7043079981058837
500,16,all,19,22,3.2960225888741648,2.453701029051434,0.6597876091694359,0.4042014481594086,0.8423215598227309,1.5671539925290914,1.5368219797704636,362.0,6.69102858897933e-05,9.999000099990002e-05,0.501895750233396,1.1651166488190443,4,37,2.8037311533093456,2.8484034382298185
500,16,excl_censored,19,21,3.2960225888741648,2.4640187841937657,0.6597876091694359,0.4112038618309415,0.832003804680399,1.5313291655865424,1.5009054073298562,344.0,9.615654461282442e-05,9.999000099990002e-05,0.5154644624484883,1.1741504646351018,4,36,2.8037311533093456,2.8653860845400225
500,17,all,19,22,3.4204282173012426,2.6389270880601616,0.6595316506381795,0.39752804832075816,0.781501129241081,1.461699394608315,1.4334084385836379,341.0,0.0005860668055800342,9.999000099990002e-05,0.4510561928214277,1.1195652829801992,4,37,2.9745536758005624,3.0039545233201337
500,17,excl_censored,19,21,3.4204282173012426,2.648706975323813,0.6595316506381795,0.4046239606842926,0.7717212419774295,1.427614090524232,1.3992508966727573,324.0,0.000783917669656603,0.00039996000399960006,0.44133403334703525,1.1094263942498277,4,36,2.9745536758005624,3.019799108536707
500,18,all,19,22,3.546337525402245,2.6183004441803153,0.8368863074382915,0.4555411219844015,0.9280370812219298,1.407099111999015,1.3798649356377437,341.0,0.0005860668055800342,9.999000099990002e-05,0.5215791070732563,1.3322094028806717,4,37,2.916093349173665,3.062666198862565
500,18,excl_censored,19,21,3.546337525402245,2.628289683534985,0.8368863074382915,0.4643151604816567,0.91804784186726,1.3758625745829902,1.3485275565449175,324.0,0.000783917669656603,0.00029997000299970003,0.5072176236845012,1.3422358746044052,4,36,2.916093349173665,3.080836748338408
500,19,all,19,22,3.793320775515155,2.755656428060748,0.9833551593237085,0.5413060392757986,1.037664347454407,1.3350898720644513,1.3092494229277198,329.0,0.0017825908825435677,0.00029997000299970003,0.5435469524256064,1.51043009590893,4,37,3.119435466825962,3.249183629319474
500,19,excl_censored,19,21,3.793320775515155,2.7668637231190996,0.9833551593237085,0.5520519899248155,1.0264570523960552,1.305237083235436,1.2793052206545996,313.0,0.0022097656717117685,0.00029997000299970003,0.5586864542002213,1.5159345451149062,4,36,3.119435466825962,3.269430307027366
500,20,all,19,22,3.940408787796372,2.898621940905398,1.0330456570438509,0.5561159193550513,1.041786846890974,1.2832520690867888,1.258414932265754,325.0,0.002530482792477342,0.00039996000399960006,0.5174411071617487,1.5617907308379777,4,37,3.2288014898300172,3.3978984786143176
500,20,excl_censored,19,21,3.940408787796372,2.9094180917796635,1.0330456570438509,0.567481892015641,1.0309906960167083,1.254881573160295,1.2299501511769777,309.0,0.0031556734004143713,9.999000099990002e-05,0.5211444643010388,1.5588865199503064,4,36,3.2288014898300172,3.4180650260051095
500,21,all,19,22,3.6156971498272923,2.4217801652821627,1.1072940139417078,0.5912440084557434,1.1939169845451296,1.3748436531759447,1.3482337760177006,342.0,0.0005319567266736574,9.999000099990002e-05,0.6627349236101876,1.740988326519878,4,37,2.797473972573876,2.994257124125151
500,21,excl_censored,19,21,3.6156971498272923,2.4376918925841644,1.1072940139417078,0.6009986876800291,1.1780052572431279,1.3416871243436705,1.3150310887606838,325.0,0.0007104983619273451,9.999000099990002e-05,0.6342695618874227,1.6871914686494713,4,36,2.797473972573876,3.0194411027969585
500,22,all,19,22,4.663815759034533,3.1188462558469983,1.543014502492658,0.8132541792649265,1.5449695031875343,1.2808196038898376,1.2560295470403569,330.0,0.0016305036228348349,0.00029997000299970003,0.7775348675031913,2.313482060475148,4,37,3.460056519120932,3.8753213776704434
500,22,excl_censored,19,21,4.663815759034533,3.1344467977370534,1.543014502492658,0.8299575118876142,1.5293689612974792,1.2527676340598177,1.2278782108665762,314.0,0.002017988592121406,0.00019998000199980003,0.7747515522794762,2.309095399265047,4,36,3.460056519120932,3.905434891601404
