alpha_onset,alpha_thinking,beta_censoring,best_condition_combined,A_selected,best_per_goal,corr_with_sr_success,corr_with_think_tokens,corr_with_onset_percent,corr_with_censored,overselect_long_risk,mean_reward_A,mean_reward_D,mean_reward_F
0.25,0.0,0.5,A,Yes,"{'0': 'A', '1': 'A', '2': 'D', '3': 'A'}",0.9777,0.2049,-0.1048,-0.4029,No,0.6836,0.4493,0.3423
0.25,0.0,1.0,A,Yes,"{'0': 'A', '1': 'A', '2': 'D', '3': 'A'}",0.9308,0.2203,-0.0879,-0.5501,No,0.6836,0.4336,0.3266
0.25,0.1,0.0,A,Yes,"{'0': 'A', '1': 'A', '2': 'D', '3': 'A'}",0.9959,0.2153,-0.1193,-0.2441,No,0.7775,0.5401,0.424
0.25,0.1,0.25,A,Yes,"{'0': 'A', '1': 'A', '2': 'D', '3': 'A'}",0.9878,0.2276,-0.1114,-0.3389,No,0.7775,0.5323,0.4161
0.25,0.1,0.5,A,Yes,"{'0': 'A', '1': 'A', '2': 'D', '3': 'A'}",0.9716,0.237,-0.1031,-0.4245,No,0.7775,0.5245,0.4083
0.25,0.1,1.0,A,Yes,"{'0': 'A', '1': 'A', '2': 'D', '3': 'A'}",0.9229,0.2486,-0.0864,-0.5656,No,0.7775,0.5089,0.3927
0.25,0.25,0.0,A,Yes,"{'0': 'A', '1': 'A', '2': 'D', '3': 'A'}",0.9876,0.2658,-0.1165,-0.2827,No,0.9184,0.6529,0.5231
0.25,0.25,0.25,A,Yes,"{'0': 'A', '1': 'A', '2': 'D', '3': 'A'}",0.9765,0.2752,-0.1085,-0.3727,No,0.9184,0.6451,0.5152
0.25,0.25,0.5,A,Yes,"{'0': 'A', '1': 'A', '2': 'D', '3': 'A'}",0.9582,0.2818,-0.1003,-0.4533,No,0.9184,0.6373,0.5074
0.25,0.25,1.0,A,Yes,"{'0': 'A', '1': 'A', '2': 'D', '3': 'A'}",0.9083,0.288,-0.0839,-0.5855,No,0.9184,0.6217,0.4918
0.25,0.5,0.0,A,Yes,"{'0': 'A', '1': 'A', '2': 'D', '3': 'A'}",0.9616,0.3396,-0.1107,-0.3382,Yes,1.1531,0.841,0.6882
0.25,0.5,0.25,A,Yes,"{'0': 'A', '1': 'A', '2': 'D', '3': 'A'}",0.9473,0.3446,-0.1028,-0.4197,Yes,1.1531,0.8332,0.6804
0.25,0.5,0.5,A,Yes,"{'0': 'A', '1': 'A', '2': 'D', '3': 'A'}",0.9276,0.3469,-0.0948,-0.4922,Yes,1.1531,0.8254,0.6726
0.25,0.5,1.0,A,Yes,"{'0': 'A', '1': 'A', '2': 'D', '3': 'A'}",0.8783,0.3454,-0.0794,-0.6108,Yes,1.1531,0.8098,0.657
0.5,0.0,0.0,A,Yes,"{'0': 'A', '1': 'E', '2': 'D', '3': 'A'}",0.9928,0.1731,-0.0642,-0.2199,No,0.6836,0.4649,0.3759
0.5,0.0,0.25,A,Yes,"{'0': 'A', '1': 'A', '2': 'D', '3': 'A'}",0.987,0.1873,-0.058,-0.318,No,0.6836,0.4571,0.3681
0.5,0.0,0.5,A,Yes,"{'0': 'A', '1': 'A', '2': 'D', '3': 'A'}",0.9723,0.1989,-0.0516,-0.4068,No,0.6836,0.4493,0.3603
0.5,0.0,1.0,A,Yes,"{'0': 'A', '1': 'A', '2': 'D', '3': 'A'}",0.9251,0.2148,-0.0393,-0.5539,No,0.6836,0.4337,0.3447
0.5,0.1,0.0,A,Yes,"{'0': 'A', '1': 'A', '2': 'D', '3': 'A'}",0.9911,0.2093,-0.0635,-0.2478,No,0.7775,0.5401,0.442
0.5,0.1,0.25,A,Yes,"{'0': 'A', '1': 'A', '2': 'D', '3': 'A'}",0.9828,0.2217,-0.0572,-0.3428,No,0.7775,0.5323,0.4342
0.5,0.1,0.5,A,Yes,"{'0': 'A', '1': 'A', '2': 'D', '3': 'A'}",0.9662,0.2313,-0.0509,-0.4284,No,0.7775,0.5245,0.4264
0.5,0.1,1.0,A,Yes,"{'0': 'A', '1': 'A', '2': 'D', '3': 'A'}",0.9172,0.2432,-0.0387,-0.5693,No,0.7775,0.5089,0.4108
0.5,0.25,0.0,A,Yes,"{'0': 'A', '1': 'A', '2': 'D', '3': 'A'}",0.9828,0.26,-0.0621,-0.2864,No,0.9184,0.653,0.5411
0.5,0.25,0.25,A,Yes,"{'0': 'A', '1': 'A', '2': 'D', '3': 'A'}",0.9714,0.2697,-0.0559,-0.3766,No,0.9184,0.6452,0.5333
0.5,0.25,0.5,A,Yes,"{'0': 'A', '1': 'A', '2': 'D', '3': 'A'}",0.9529,0.2764,-0.0496,-0.4571,No,0.9184,0.6374,0.5255
0.5,0.25,1.0,A,Yes,"{'0': 'A', '1': 'A', '2': 'D', '3': 'A'}",0.9026,0.2829,-0.0378,-0.5891,No,0.9184,0.6217,0.5099
0.5,0.5,0.0,A,Yes,"{'0': 'A', '1': 'A', '2': 'D', '3': 'A'}",0.9567,0.3344,-0.0592,-0.3419,Yes,1.1532,0.8411,0.7063
0.5,0.5,0.25,A,Yes,"{'0': 'A', '1': 'A', '2': 'D', '3': 'A'}",0.9422,0.3396,-0.0531,-0.4234,Yes,1.1532,0.8332,0.6984
0.5,0.5,0.5,A,Yes,"{'0': 'A', '1': 'A', '2': 'D', '3': 'A'}",0.9223,0.342,-0.0471,-0.4959,Yes,1.1532,0.8254,0.6906
0.5,0.5,1.0,A,Yes,"{'0': 'A', '1': 'A', '2': 'D', '3': 'A'}",0.8729,0.3407,-0.0359,-0.6142,Yes,1.1532,0.8098,0.675
