layer,head,component,succ_mean,fail_mean,delta,n_succ,n_fail
0,0,benign_puzzle_scaffold,0.9239952484118555,0.8986918770426818,0.02530337136917371,7,33
0,0,final_answer_cue,0.059595628551172744,0.08725603904709019,-0.027660410495917442,7,33
0,0,harmful_instruction,0.0,3.780470848819407e-05,-3.780470848819407e-05,7,33
0,0,injected_reasoning,0.0,0.0023085992489473867,-0.0023085992489473867,7,33
0,1,benign_puzzle_scaffold,0.9143006161080863,0.8747503783887244,0.03955023771936195,7,33
0,1,final_answer_cue,0.07358132268255566,0.1155898466238857,-0.04200852394133005,7,33
0,1,harmful_instruction,0.0,4.790764818932793e-05,-4.790764818932793e-05,7,33
0,1,injected_reasoning,0.0,0.001499929416381278,-0.001499929416381278,7,33
0,2,benign_puzzle_scaffold,0.7972260828368578,0.6850380117629583,0.1121880710738995,7,33
0,2,final_answer_cue,0.1953634234693046,0.3126049467919799,-0.11724152332267532,7,33
0,2,harmful_instruction,0.0,0.00019516919761962187,-0.00019516919761962187,7,33
0,2,injected_reasoning,0.0,0.0009494196920014474,-0.0009494196920014474,7,33
0,3,benign_puzzle_scaffold,0.7176196107269778,0.5485210900577244,0.16909852066925335,7,33
0,3,final_answer_cue,0.28490092777826936,0.45309342309900813,-0.16819249532073877,7,33
0,3,harmful_instruction,0.0,0.00021892603159693268,-0.00021892603159693268,7,33
0,3,injected_reasoning,0.0,0.00036399434015652835,-0.00036399434015652835,7,33
0,4,benign_puzzle_scaffold,0.7567585452100026,0.6104806583563486,0.14627788685365406,7,33
0,4,final_answer_cue,0.23865894638866822,0.3856127738937941,-0.1469538275051259,7,33
0,4,harmful_instruction,0.0,0.00025393534577795255,-0.00025393534577795255,7,33
0,4,injected_reasoning,0.0,0.0010413253520780066,-0.0010413253520780066,7,33
0,5,benign_puzzle_scaffold,0.34563794535760545,0.06224893488549315,0.2833890104721123,7,33
0,5,final_answer_cue,0.6622086688546797,0.9434402326691859,-0.2812315638145062,7,33
0,5,harmful_instruction,0.0,0.0016209569677029252,-0.0016209569677029252,7,33
0,5,injected_reasoning,0.0,3.665567025995369e-05,-3.665567025995369e-05,7,33
0,6,benign_puzzle_scaffold,0.8772464830914087,0.8199544687128242,0.057292014378584555,7,33
0,6,final_answer_cue,0.11308453491319255,0.17223964534723182,-0.059155110434039274,7,33
0,6,harmful_instruction,0.0,0.0003058824053180849,-0.0003058824053180849,7,33
0,6,injected_reasoning,0.0,0.00033964977984727164,-0.00033964977984727164,7,33
0,7,benign_puzzle_scaffold,0.676521863056112,0.520514120258694,0.15600774279741791,7,33
0,7,final_answer_cue,0.31609810076878997,0.4730447383835768,-0.15694663761478683,7,33
0,7,harmful_instruction,0.0,0.0009525791445236263,-0.0009525791445236263,7,33
0,7,injected_reasoning,0.0,0.0002508036467659832,-0.0002508036467659832,7,33
0,8,benign_puzzle_scaffold,0.3670760772099717,0.11071280926043088,0.25636326794954084,7,33
0,8,final_answer_cue,0.6316863850184319,0.8886327998966919,-0.25694641487826,7,33
0,8,harmful_instruction,0.0,0.0019203258655489618,-0.0019203258655489618,7,33
0,8,injected_reasoning,0.0,4.8458506402446075e-05,-4.8458506402446075e-05,7,33
0,9,benign_puzzle_scaffold,0.2789864719213219,0.009267521744539825,0.2697189501767821,7,33
0,9,final_answer_cue,0.709199358357578,0.9953326711629028,-0.28613331280532484,7,33
0,9,harmful_instruction,0.0,0.0020144229010964055,-0.0020144229010964055,7,33
0,9,injected_reasoning,0.0,7.688503952379395e-06,-7.688503952379395e-06,7,33
0,10,benign_puzzle_scaffold,0.6542829005637627,0.42166827165958953,0.23261462890417317,7,33
0,10,final_answer_cue,0.3481330645692325,0.579560124076361,-0.23142705950712855,7,33
0,10,harmful_instruction,0.0,0.000531922359222562,-0.000531922359222562,7,33
0,10,injected_reasoning,0.0,0.00027915228501997216,-0.00027915228501997216,7,33
0,11,benign_puzzle_scaffold,0.7056249798394435,0.5782082656823756,0.1274167141570679,7,33
0,11,final_answer_cue,0.277455049656801,0.4198541093215407,-0.1423990596647397,7,33
0,11,harmful_instruction,0.0,0.00017353605815635022,-0.00017353605815635022,7,33
0,11,injected_reasoning,0.0,0.0002445351222502147,-0.0002445351222502147,7,33
0,12,benign_puzzle_scaffold,0.3234390889651402,0.044538669265682417,0.2789004196994578,7,33
0,12,final_answer_cue,0.6804915080768009,0.9589046151733822,-0.2784131070965813,7,33
0,12,harmful_instruction,0.0,0.0019340102542666734,-0.0019340102542666734,7,33
0,12,injected_reasoning,0.0,7.325566489102244e-05,-7.325566489102244e-05,7,33
0,13,benign_puzzle_scaffold,0.46144007431586553,0.1989073099203798,0.26253276439548573,7,33
0,13,final_answer_cue,0.5448791744858069,0.8056044140485976,-0.2607252395627907,7,33
0,13,harmful_instruction,0.0,0.0009874876203838526,-0.0009874876203838526,7,33
0,13,injected_reasoning,0.0,0.00012726906365862392,-0.00012726906365862392,7,33
0,14,benign_puzzle_scaffold,0.7024516783613463,0.5568104105953854,0.14564126776596087,7,33
0,14,final_answer_cue,0.2954073099977343,0.4399368258162415,-0.1445295158185072,7,33
0,14,harmful_instruction,0.0,0.0005651220755880587,-0.0005651220755880587,7,33
0,14,injected_reasoning,0.0,0.001073727440130386,-0.001073727440130386,7,33
0,15,benign_puzzle_scaffold,0.763493037641009,0.6351109515247412,0.12838208611626778,7,33
0,15,final_answer_cue,0.2157482959312941,0.35870657852513316,-0.14295828259383905,7,33
0,15,harmful_instruction,0.0,0.00021718215536565609,-0.00021718215536565609,7,33
0,15,injected_reasoning,0.0,0.000698008493452786,-0.000698008493452786,7,33
0,16,benign_puzzle_scaffold,0.5975239277934918,0.3686979389250943,0.22882598886839756,7,33
0,16,final_answer_cue,0.3939000345979479,0.6372091164641008,-0.2433090818661529,7,33
0,16,harmful_instruction,0.0,0.0009762636692831299,-0.0009762636692831299,7,33
0,16,injected_reasoning,0.0,0.00041471625190669253,-0.00041471625190669253,7,33
0,17,benign_puzzle_scaffold,0.631704610139323,0.47346006881673397,0.15824454132258903,7,33
0,17,final_answer_cue,0.3092425678914213,0.4972763928159728,-0.1880338249245515,7,33
0,17,harmful_instruction,0.0,0.0004970390542171493,-0.0004970390542171493,7,33
0,17,injected_reasoning,0.0,0.0005153401230695755,-0.0005153401230695755,7,33
0,18,benign_puzzle_scaffold,0.27435867872675834,0.004936317441743327,0.269422361285015,7,33
0,18,final_answer_cue,0.7140443444369146,0.999868993015731,-0.2858246485788164,7,33
0,18,harmful_instruction,0.0,0.0020475120486686694,-0.0020475120486686694,7,33
0,18,injected_reasoning,0.0,4.789360311329611e-08,-4.789360311329611e-08,7,33
0,19,benign_puzzle_scaffold,0.8763176144293492,0.8717581901924844,0.00455942423686484,7,33
0,19,final_answer_cue,0.1095366938147662,0.11915139736131329,-0.009614703546547088,7,33
0,19,harmful_instruction,0.0,1.605313810994722e-13,-1.605313810994722e-13,7,33
0,19,injected_reasoning,0.0,1.531685906084144e-08,-1.531685906084144e-08,7,33
0,20,benign_puzzle_scaffold,0.3191235582433238,0.04719713327739241,0.2719264249659314,7,33
0,20,final_answer_cue,0.6732411282939014,0.95916237379581,-0.28592124550190867,7,33
0,20,harmful_instruction,0.0,0.00222280542034909,-0.00222280542034909,7,33
0,20,injected_reasoning,0.0,1.0957383046871002e-06,-1.0957383046871002e-06,7,33
0,21,benign_puzzle_scaffold,0.8887069342257756,0.8608888590266013,0.02781807519917434,7,33
0,21,final_answer_cue,0.1008989936187696,0.13050456927944318,-0.02960557566067358,7,33
0,21,harmful_instruction,0.0,7.253758551977092e-05,-7.253758551977092e-05,7,33
