bin,normalized_position,layer,subspace_rank,mean_complied,mean_refused,mean_diff,cohens_d
3,0.35,22,3,1.949218,1.436263,0.512955,0.263245
3,0.35,22,4,-1.880141,-2.371663,0.491522,0.235399
3,0.35,23,0,6.630015,6.400442,0.229573,0.091862
3,0.35,23,1,-2.966801,-3.525747,0.558946,0.250987
3,0.35,23,2,3.168926,2.896637,0.272289,0.113232
3,0.35,23,3,1.819156,1.248198,0.570958,0.259157
3,0.35,23,4,-2.549546,-3.150848,0.601302,0.257327
3,0.35,26,0,8.741161,8.342316,0.398845,0.129693
3,0.35,26,1,-3.675466,-4.595855,0.920389,0.305641
3,0.35,26,2,4.706367,4.194259,0.512108,0.163534
3,0.35,26,3,2.850583,2.002574,0.848009,0.249337
3,0.35,26,4,-3.241867,-4.17197,0.930103,0.295279
4,0.45,3,0,1.382663,1.195396,0.187267,0.342933
4,0.45,3,1,-0.228727,-0.208074,-0.020653,-0.069074
4,0.45,3,2,0.582488,0.63563,-0.053142,-0.166624
4,0.45,3,3,0.221503,0.276339,-0.054836,-0.188232
4,0.45,3,4,-0.214102,-0.186389,-0.027713,-0.095657
4,0.45,21,0,4.616243,4.418758,0.197485,0.100278
4,0.45,21,1,-1.545222,-1.852751,0.307529,0.182665
4,0.45,21,2,2.327739,2.329239,-0.0015,-0.000864
4,0.45,21,3,1.3647,1.168716,0.195984,0.135615
4,0.45,21,4,-1.181893,-1.478392,0.296499,0.176239
4,0.45,22,0,5.904017,5.680585,0.223432,0.103654
4,0.45,22,1,-2.196094,-2.542459,0.346365,0.185412
4,0.45,22,2,3.057523,2.888165,0.169358,0.084753
4,0.45,22,3,1.790661,1.335934,0.454727,0.245377
4,0.45,22,4,-1.925131,-2.361273,0.436142,0.216923
4,0.45,23,0,6.520234,6.260584,0.25965,0.105046
4,0.45,23,1,-3.016904,-3.484538,0.467634,0.214255
4,0.45,23,2,3.176997,2.919404,0.257593,0.110742
4,0.45,23,3,1.693297,1.147526,0.545771,0.258923
4,0.45,23,4,-2.563264,-3.125218,0.561954,0.248141
4,0.45,26,0,8.579562,8.211516,0.368046,0.120206
4,0.45,26,1,-3.658977,-4.495646,0.836669,0.286157
4,0.45,26,2,4.707364,4.201727,0.505637,0.166094
4,0.45,26,3,2.771253,1.843391,0.927862,0.286405
4,0.45,26,4,-3.228903,-4.170916,0.942013,0.310012
5,0.55,3,0,1.362763,1.175259,0.187504,0.349239
5,0.55,3,1,-0.232366,-0.216018,-0.016348,-0.05473
5,0.55,3,2,0.582666,0.629886,-0.04722,-0.148893
5,0.55,3,3,0.221929,0.277329,-0.0554,-0.19065
5,0.55,3,4,-0.217955,-0.193935,-0.02402,-0.082779
5,0.55,21,0,4.538774,4.371905,0.166869,0.085755
5,0.55,21,1,-1.479471,-1.790589,0.311118,0.183849
5,0.55,21,2,2.349001,2.352301,-0.0033,-0.001883
5,0.55,21,3,1.300207,1.162751,0.137456,0.094523
5,0.55,21,4,-1.139524,-1.419631,0.280107,0.165373
5,0.55,22,0,5.873415,5.638206,0.235209,0.11045
5,0.55,22,1,-2.12154,-2.474394,0.352854,0.187959
5,0.55,22,2,3.085049,2.929124,0.155925,0.077039
5,0.55,22,3,1.696654,1.329457,0.367197,0.196157
5,0.55,22,4,-1.893771,-2.285872,0.392101,0.193453
5,0.55,23,0,6.455039,6.16794,0.287099,0.117608
5,0.55,23,1,-2.904556,-3.345963,0.441407,0.201065
5,0.55,23,2,3.217393,3.01057,0.206823,0.088055
5,0.55,23,3,1.603788,1.156007,0.447781,0.209301
5,0.55,23,4,-2.502736,-2.993626,0.49089,0.214786
5,0.55,26,0,8.51577,8.029883,0.485887,0.160493
5,0.55,26,1,-3.459058,-4.213617,0.754559,0.254985
5,0.55,26,2,4.794812,4.38871,0.406102,0.129169
5,0.55,26,3,2.634677,1.999635,0.635042,0.191557
5,0.55,26,4,-3.110398,-3.90706,0.796662,0.255997
6,0.65,3,0,1.36344,1.180905,0.182535,0.340546
6,0.65,3,1,-0.235106,-0.222735,-0.012371,-0.041672
6,0.65,3,2,0.582301,0.623348,-0.041047,-0.130239
6,0.65,3,3,0.221136,0.273856,-0.05272,-0.181926
6,0.65,3,4,-0.218689,-0.199507,-0.019182,-0.066378
6,0.65,21,0,4.552273,4.348611,0.203662,0.073969
6,0.65,21,1,-1.50408,-1.652043,0.147963,0.069945
6,0.65,21,2,2.288861,2.442491,-0.15363,-0.073204
6,0.65,21,3,1.252457,1.222902,0.029555,0.018386
6,0.65,21,4,-1.174799,-1.32008,0.145281,0.07341
6,0.65,22,0,5.902692,5.605908,0.296784,0.102596
6,0.65,22,1,-2.165935,-2.326184,0.160249,0.070241
6,0.65,22,2,3.019283,3.048316,-0.029033,-0.012378
6,0.65,22,3,1.619647,1.405805,0.213842,0.10731
6,0.65,22,4,-1.94668,-2.168801,0.222121,0.096926
6,0.65,23,0,6.479506,6.116377,0.363129,0.115794
6,0.65,23,1,-2.950108,-3.173117,0.223009,0.087322
6,0.65,23,2,3.165424,3.151203,0.014221,0.005394
6,0.65,23,3,1.526026,1.259847,0.266179,0.118466
6,0.65,23,4,-2.554722,-2.864427,0.309705,0.122327
6,0.65,26,0,8.556957,7.977735,0.579222,0.158871
6,0.65,26,1,-3.468629,-3.958934,0.490305,0.151081
6,0.65,26,2,4.750158,4.602528,0.14763,0.043646
6,0.65,26,3,2.6075,2.124948,0.482552,0.141196
6,0.65,26,4,-3.160795,-3.71856,0.557765,0.167958
7,0.75,3,0,1.35556,1.193429,0.162131,0.30105
7,0.75,3,1,-0.24904,-0.230366,-0.018674,-0.062711
7,0.75,3,2,0.566029,0.612856,-0.046827,-0.146817
7,0.75,3,3,0.210021,0.263817,-0.053796,-0.183732
7,0.75,3,4,-0.232655,-0.210406,-0.022249,-0.076705
7,0.75,21,0,4.562353,4.334045,0.228308,0.092037
7,0.75,21,1,-1.469218,-1.683035,0.213817,0.109564
7,0.75,21,2,2.322538,2.401273,-0.078735,-0.040114
7,0.75,21,3,1.208952,1.198598,0.010354,0.00675
7,0.75,21,4,-1.131723,-1.347832,0.216109,0.115997
7,0.75,22,0,5.903074,5.633362,0.269712,0.102972
7,0.75,22,1,-2.15637,-2.365225,0.208855,0.098212
7,0.75,22,2,3.04061,2.993111,0.047499,0.021362
7,0.75,22,3,1.535167,1.365767,0.1694,0.088554
7,0.75,22,4,-1.928243,-2.230628,0.302385,0.138001
7,0.75,23,0,6.477673,6.156916,0.320757,0.111369
7,0.75,23,1,-2.882887,-3.205221,0.322334,0.132899
7,0.75,23,2,3.249905,3.112873,0.137032,0.054075
7,0.75,23,3,1.477944,1.228193,0.249751,0.114419
7,0.75,23,4,-2.473859,-2.907165,0.433306,0.176932
7,0.75,26,0,8.520301,7.970084,0.550217,0.160255
7,0.75,26,1,-3.344981,-3.923952,0.578971,0.184356
7,0.75,26,2,4.869606,4.6081,0.261506,0.078882
7,0.75,26,3,2.580784,2.121058,0.459726,0.137275
7,0.75,26,4,-3.056207,-3.727863,0.671656,0.205478
8,0.85,3,0,1.359845,1.180246,0.179599,0.330875
8,0.85,3,1,-0.25401,-0.229096,-0.024914,-0.082819
8,0.85,3,2,0.560143,0.614218,-0.054075,-0.168043
8,0.85,3,3,0.205855,0.265091,-0.059236,-0.202294
8,0.85,3,4,-0.23888,-0.209345,-0.029535,-0.100831
8,0.85,21,0,4.588545,4.328228,0.260317,0.041753
8,0.85,21,1,-1.468144,-1.719517,0.251373,0.058737
8,0.85,21,2,2.354365,2.393353,-0.038988,-0.01013
8,0.85,21,3,1.227668,1.166149,0.061519,0.025337
8,0.85,21,4,-1.133224,-1.399705,0.266481,0.074186
8,0.85,22,0,5.933955,5.646374,0.287581,0.045572
8,0.85,22,1,-2.160889,-2.41452,0.253631,0.057988
8,0.85,22,2,3.059097,2.963801,0.095296,0.023735
8,0.85,22,3,1.549636,1.300103,0.249533,0.092469
8,0.85,22,4,-1.949216,-2.327564,0.378348,0.10018
8,0.85,23,0,6.515623,6.171269,0.344354,0.053427
8,0.85,23,1,-2.862476,-3.233008,0.370532,0.081852
8,0.85,23,2,3.281381,3.078381,0.203,0.047976
8,0.85,23,3,1.50152,1.147987,0.353533,0.121248
8,0.85,23,4,-2.474518,-2.986117,0.511599,0.130288
