step,goal_idx,condition,sr_success,reward_total,prob_A,prob_D,prob_F,prob_E,advantage,baseline,l22_think_phase,data_source,variant
53,0,A,True,1.2135,0.2901,0.2376,0.2394,0.2329,1.0193,0.2961,4.688,stage4_7,cost_l22_deflect
54,2,A,True,1.0971,0.2647,0.262,0.2438,0.2295,0.6496,0.5124,6.285,stage4_7,cost_l22_deflect
55,2,D,True,1.0742,0.2626,0.2673,0.242,0.228,0.5618,0.5686,6.599,stage4_7,cost_l22_deflect
56,1,E,True,1.0,0.2653,0.2414,0.2319,0.2614,0.8991,0.1908,,stage4_7,cost_l22_deflect
57,1,D,False,0.0,0.2659,0.2396,0.2324,0.262,-0.1908,0.1717,,stage4_8,cost_l22_deflect
58,3,D,True,1.0,0.2473,0.2523,0.2302,0.2702,0.2915,0.7377,,stage4_8,cost_l22_deflect
59,0,F,False,0.0,0.2913,0.2383,0.2367,0.2337,-0.2961,0.2665,,stage4_8,cost_l22_deflect
60,3,A,True,1.1058,0.2507,0.2511,0.2293,0.2689,0.3681,0.7745,6.166,stage4_7,cost_l22_deflect
61,3,F,True,1.0,0.2501,0.2505,0.2313,0.2681,0.2255,0.797,,stage4_8,cost_l22_deflect
62,2,F,True,1.0,0.2612,0.2658,0.2461,0.2269,0.4314,0.6118,,stage4_8,cost_l22_deflect
63,1,E,False,-0.3,0.2677,0.241,0.2338,0.2576,-0.4717,0.1246,,stage4_7,cost_l22_deflect
64,3,F,False,0.1037,0.252,0.2524,0.2251,0.2704,-0.6934,0.7277,6.195,stage4_7,cost_l22_deflect
65,1,A,False,0.0,0.2665,0.2414,0.2341,0.258,-0.1246,0.1121,,stage4_8,cost_l22_deflect
66,2,F,False,0.0,0.2632,0.268,0.2404,0.2284,-0.6118,0.5506,,stage4_8,cost_l22_deflect
67,1,E,False,-0.3,0.268,0.2426,0.2353,0.2541,-0.4121,0.0709,,stage4_7,cost_l22_deflect
68,1,E,False,-0.3,0.2693,0.2437,0.2363,0.2506,-0.3709,0.0338,,stage4_7,cost_l22_deflect
69,3,E,True,1.0,0.2511,0.2515,0.2243,0.2731,0.2723,0.7549,,stage4_7,cost_l22_deflect
70,3,D,True,1.0,0.2503,0.2538,0.2237,0.2721,0.2451,0.7794,,stage4_8,cost_l22_deflect
71,0,D,False,0.0,0.2924,0.2359,0.2374,0.2344,-0.2665,0.2399,,stage4_8,cost_l22_deflect
72,2,F,False,-0.0228,0.2651,0.2699,0.2351,0.2298,-0.5733,0.4932,7.929,stage4_7,cost_l22_deflect
73,1,D,False,0.0,0.2694,0.2434,0.2364,0.2507,-0.0338,0.0304,,stage4_8,cost_l22_deflect
74,3,D,True,0.9577,0.2498,0.2555,0.2233,0.2715,0.1783,0.7973,8.197,stage4_7,cost_l22_deflect
75,0,D,False,0.0,0.2934,0.2337,0.238,0.235,-0.2399,0.2159,,stage4_8,cost_l22_deflect
76,3,D,True,1.0,0.2491,0.2574,0.2227,0.2707,0.2027,0.8175,,stage4_8,cost_l22_deflect
77,1,F,False,0.0,0.2695,0.2435,0.2361,0.2508,-0.0304,0.0274,,stage4_8,cost_l22_deflect
78,3,E,False,0.0,0.2518,0.2603,0.2249,0.2629,-0.8175,0.7358,,stage4_7,cost_l22_deflect
79,2,E,False,0.0,0.2667,0.2716,0.2364,0.2254,-0.4932,0.4439,,stage4_7,cost_l22_deflect
80,1,D,False,0.0,0.2696,0.2432,0.2362,0.2509,-0.0274,0.0246,,stage4_8,cost_l22_deflect
81,1,D,False,0.0,0.2697,0.243,0.2363,0.251,-0.0246,0.0222,,stage4_8,cost_l22_deflect
82,0,E,False,0.0,0.2942,0.2342,0.2385,0.233,-0.2159,0.1943,,stage4_7,cost_l22_deflect
83,0,F,False,0.0619,0.2948,0.2346,0.2373,0.2333,-0.1324,0.1811,6.768,stage4_7,cost_l22_deflect
84,0,E,False,-0.3,0.2967,0.2358,0.2386,0.2289,-0.4811,0.1329,,stage4_7,cost_l22_deflect
85,0,E,False,-0.3,0.2985,0.2368,0.2397,0.225,-0.4329,0.0897,,stage4_7,cost_l22_deflect
86,2,F,True,1.0,0.2648,0.2696,0.2415,0.224,0.5561,0.4995,,stage4_8,cost_l22_deflect
87,0,D,False,0.0,0.2988,0.236,0.2399,0.2252,-0.0897,0.0807,,stage4_8,cost_l22_deflect
88,2,D,True,1.0,0.2629,0.2744,0.2399,0.2227,0.5005,0.5496,,stage4_8,cost_l22_deflect
89,0,A,True,1.0,0.3079,0.2329,0.2367,0.2224,0.9193,0.1726,,stage4_8,cost_l22_deflect
90,3,A,True,1.0,0.2543,0.2594,0.2242,0.262,0.2642,0.7622,,stage4_8,cost_l22_deflect
91,0,E,False,-0.3,0.3099,0.234,0.2379,0.2182,-0.4726,0.1254,,stage4_7,cost_l22_deflect
92,3,F,True,1.0,0.2536,0.2587,0.2264,0.2613,0.2378,0.786,,stage4_8,cost_l22_deflect
93,2,E,False,0.0,0.2646,0.2763,0.2413,0.2178,-0.5496,0.4946,,stage4_7,cost_l22_deflect
94,3,F,True,1.0,0.253,0.258,0.2283,0.2606,0.214,0.8074,,stage4_8,cost_l22_deflect
95,1,D,False,0.0,0.2698,0.2428,0.2363,0.2511,-0.0222,0.02,,stage4_8,cost_l22_deflect
96,1,D,False,0.0,0.2699,0.2426,0.2364,0.2511,-0.02,0.018,,stage4_8,cost_l22_deflect
97,1,A,False,0.0,0.2697,0.2427,0.2364,0.2512,-0.018,0.0162,,stage4_8,cost_l22_deflect
98,0,A,True,1.0,0.3186,0.2311,0.2348,0.2156,0.8746,0.2128,,stage4_8,cost_l22_deflect
99,3,D,True,1.0,0.2524,0.2599,0.2278,0.2599,0.1926,0.8266,,stage4_8,cost_l22_deflect
100,2,E,False,0.0,0.2661,0.2779,0.2425,0.2134,-0.4946,0.4452,,stage4_7,cost_l22_deflect
101,3,E,True,1.0,0.2518,0.2593,0.2273,0.2616,0.1734,0.844,,stage4_7,cost_l22_deflect
102,1,F,False,0.0706,0.2695,0.2425,0.2369,0.251,0.0544,0.0216,6.649,stage4_7,cost_l22_deflect
103,0,D,False,0.0,0.3196,0.2291,0.2353,0.216,-0.2128,0.1915,,stage4_8,cost_l22_deflect
104,2,A,False,0.0,0.2619,0.2797,0.2439,0.2145,-0.4452,0.4006,,stage4_8,cost_l22_deflect
105,0,E,False,-0.3,0.3218,0.2302,0.2364,0.2116,-0.4915,0.1424,,stage4_7,cost_l22_deflect
106,1,A,False,0.2067,0.2713,0.2419,0.2364,0.2504,0.1851,0.0401,4.782,stage4_7,cost_l22_deflect
107,0,A,False,0.0,0.3204,0.2306,0.2369,0.2121,-0.1424,0.1281,,stage4_8,cost_l22_deflect
108,3,A,True,1.0,0.2533,0.2587,0.2269,0.2611,0.156,0.8596,,stage4_8,cost_l22_deflect
109,2,F,True,1.0,0.2599,0.2774,0.2495,0.2132,0.5994,0.4606,,stage4_8,cost_l22_deflect
110,0,D,False,-0.3,0.3224,0.2267,0.238,0.2129,-0.4281,0.0853,,stage4_7,cost_l22_deflect
111,0,A,True,1.0935,0.3324,0.2234,0.2343,0.2099,1.0081,0.1861,6.335,stage4_7,cost_l22_deflect
112,2,F,True,0.8806,0.2585,0.2758,0.2535,0.2122,0.4201,0.5026,9.255,stage4_7,cost_l22_deflect
113,1,E,True,1.0,0.2677,0.2391,0.2337,0.2595,0.9599,0.1361,,stage4_7,cost_l22_deflect
114,1,E,False,0.0,0.2682,0.2395,0.234,0.2582,-0.1361,0.1225,,stage4_7,cost_l22_deflect
115,3,F,True,0.8057,0.2534,0.2589,0.2264,0.2612,-0.0539,0.8542,10.282,stage4_7,cost_l22_deflect
116,1,E,False,0.0,0.2687,0.2399,0.2344,0.2571,-0.1225,0.1102,,stage4_7,cost_l22_deflect
117,1,F,False,0.0,0.2691,0.2402,0.2334,0.2574,-0.1102,0.0992,,stage4_8,cost_l22_deflect
118,3,D,True,1.0,0.2529,0.2603,0.2261,0.2607,0.1458,0.8688,,stage4_8,cost_l22_deflect
119,3,D,True,1.0,0.2525,0.2615,0.2257,0.2602,0.1312,0.8819,,stage4_8,cost_l22_deflect
120,2,A,True,0.961,0.2628,0.274,0.252,0.2111,0.4585,0.5484,8.152,stage4_7,cost_l22_deflect
121,1,F,False,0.0,0.2694,0.2404,0.2325,0.2577,-0.0992,0.0893,,stage4_8,cost_l22_deflect
122,1,A,False,0.0,0.2685,0.2407,0.2327,0.258,-0.0893,0.0804,,stage4_8,cost_l22_deflect
123,0,A,True,1.0935,0.3414,0.2204,0.231,0.2072,0.9073,0.2769,6.335,stage4_7,cost_l22_deflect
124,2,E,False,0.0,0.2644,0.2758,0.2534,0.2064,-0.5484,0.4936,,stage4_7,cost_l22_deflect
125,0,A,False,0.1875,0.3405,0.2206,0.2314,0.2074,-0.0894,0.2679,5.045,stage4_7,cost_l22_deflect
126,2,E,True,1.0,0.263,0.2742,0.2521,0.2108,0.5064,0.5442,,stage4_7,cost_l22_deflect
127,2,F,False,0.0502,0.2646,0.276,0.2475,0.2119,-0.494,0.4948,6.928,stage4_7,cost_l22_deflect
128,3,F,False,-0.3,0.2558,0.2651,0.2152,0.2638,-1.1819,0.7637,,stage4_7,cost_l22_deflect
129,3,F,True,1.0,0.2552,0.2644,0.2173,0.2631,0.2363,0.7873,,stage4_8,cost_l22_deflect
130,3,F,False,0.1037,0.2571,0.2665,0.2113,0.2651,-0.6837,0.719,6.195,stage4_7,cost_l22_deflect
131,1,E,False,-0.3,0.2699,0.2418,0.2338,0.2544,-0.3804,0.0423,,stage4_7,cost_l22_deflect
132,0,E,False,-0.3,0.3433,0.2217,0.2325,0.2025,-0.5679,0.2111,,stage4_7,cost_l22_deflect
133,1,A,False,0.0,0.2695,0.242,0.2339,0.2546,-0.0423,0.0381,,stage4_8,cost_l22_deflect
134,0,E,False,0.0,0.3443,0.2221,0.2329,0.2007,-0.2111,0.19,,stage4_7,cost_l22_deflect
135,2,D,False,-0.0556,0.2667,0.2707,0.2493,0.2132,-0.5504,0.4398,8.379,stage4_7,cost_l22_deflect
136,0,D,False,0.0,0.3453,0.2203,0.2334,0.201,-0.19,0.171,,stage4_8,cost_l22_deflect
137,2,F,True,1.0,0.2648,0.2687,0.2546,0.212,0.5602,0.4958,,stage4_8,cost_l22_deflect
138,0,A,True,1.0,0.3536,0.2176,0.2303,0.1986,0.829,0.2539,,stage4_8,cost_l22_deflect
139,2,E,True,1.0,0.2632,0.2671,0.2532,0.2164,0.5042,0.5462,,stage4_7,cost_l22_deflect
140,0,D,False,0.0,0.3549,0.2153,0.2308,0.199,-0.2539,0.2285,,stage4_8,cost_l22_deflect
141,0,A,True,1.0,0.3626,0.2127,0.228,0.1967,0.7715,0.3057,,stage4_8,cost_l22_deflect
142,0,E,False,-0.3,0.3658,0.2136,0.229,0.1916,-0.6057,0.2451,,stage4_7,cost_l22_deflect
143,2,A,True,1.0,0.2676,0.2654,0.2517,0.2153,0.4538,0.5916,,stage4_8,cost_l22_deflect
144,3,E,True,1.0,0.2561,0.2654,0.2106,0.2678,0.281,0.7471,,stage4_7,cost_l22_deflect
145,0,F,False,0.0,0.3672,0.2141,0.2268,0.1919,-0.2451,0.2206,,stage4_8,cost_l22_deflect
146,1,E,False,-0.3,0.2708,0.243,0.2348,0.2514,-0.3381,0.0043,,stage4_7,cost_l22_deflect
147,2,E,False,0.0,0.2694,0.2672,0.2533,0.2101,-0.5916,0.5324,,stage4_7,cost_l22_deflect
148,1,D,False,0.0,0.2708,0.2429,0.2349,0.2514,-0.0043,0.0039,,stage4_8,cost_l22_deflect
149,1,A,False,0.0,0.2708,0.2429,0.2349,0.2514,-0.0039,0.0035,,stage4_8,cost_l22_deflect
150,3,E,True,1.0,0.2552,0.2645,0.21,0.2703,0.2529,0.7724,,stage4_7,cost_l22_deflect
151,1,A,True,0.9103,0.2795,0.24,0.2321,0.2483,0.9068,0.0942,8.848,stage4_7,cost_l22_deflect
152,1,E,False,0.0,0.2799,0.2403,0.2324,0.2474,-0.0942,0.0847,,stage4_7,cost_l22_deflect
