step,goal_idx,condition,sr_success,reward_total,prob_A,prob_D,prob_F,prob_E,advantage,baseline,l22_think_phase,data_source,variant
54,3,A,True,1.1,0.2862,0.2413,0.2333,0.2392,0.3165,0.8152,6.166,stage4_7,cost_mechanistic
55,0,D,False,-0.25,0.2811,0.2371,0.2433,0.2386,-0.5073,0.2065,,stage4_7,cost_mechanistic
56,2,E,False,0.05,0.2537,0.2415,0.2388,0.266,-0.2506,0.2755,,stage4_7,cost_mechanistic
57,3,A,True,1.1,0.2889,0.2404,0.2324,0.2383,0.2848,0.8437,,stage4_8,cost_mechanistic
58,1,A,True,1.1,0.2598,0.2373,0.2332,0.2697,0.7822,0.396,4.398,stage4_7,cost_mechanistic
59,3,D,True,1.1,0.2879,0.2428,0.2317,0.2376,0.2563,0.8693,6.91,stage4_7,cost_mechanistic
60,2,D,True,1.1,0.2512,0.2492,0.2365,0.2631,0.8245,0.358,6.599,stage4_7,cost_mechanistic
61,0,A,False,0.0998,0.2801,0.2374,0.2436,0.2389,-0.1067,0.1959,5.045,stage4_7,cost_mechanistic
62,2,F,False,0.0254,0.2521,0.2502,0.2335,0.2642,-0.3326,0.3247,6.928,stage4_7,cost_mechanistic
63,3,E,False,0.05,0.2911,0.245,0.2338,0.2301,-0.8193,0.7874,,stage4_7,cost_mechanistic
64,1,A,False,0.1,0.257,0.2381,0.2341,0.2708,-0.296,0.3664,,stage4_8,cost_mechanistic
65,2,A,True,1.1,0.2595,0.2477,0.2313,0.2615,0.7753,0.4023,8.152,stage4_7,cost_mechanistic
66,0,A,False,0.1,0.2791,0.2377,0.244,0.2392,-0.0959,0.1863,,stage4_8,cost_mechanistic
67,2,D,True,1.1,0.2572,0.2543,0.2294,0.2591,0.6977,0.472,6.599,stage4_7,cost_mechanistic
68,3,F,True,1.1,0.2899,0.2441,0.2367,0.2293,0.3126,0.8186,,stage4_8,cost_mechanistic
69,0,A,False,0.0998,0.2783,0.238,0.2442,0.2395,-0.0865,0.1776,5.045,stage4_7,cost_mechanistic
70,3,E,True,1.05,0.289,0.2435,0.2361,0.2315,0.2314,0.8418,,stage4_7,cost_mechanistic
71,3,A,True,1.1,0.2915,0.2426,0.2352,0.2307,0.2582,0.8676,8.706,stage4_7,cost_mechanistic
72,3,E,False,0.05,0.2947,0.2448,0.2373,0.2233,-0.8176,0.7858,,stage4_7,cost_mechanistic
73,3,A,True,1.1,0.2978,0.2437,0.2362,0.2223,0.3142,0.8172,,stage4_8,cost_mechanistic
74,2,A,True,1.1,0.2632,0.2522,0.2277,0.2569,0.628,0.5348,6.285,stage4_7,cost_mechanistic
75,0,A,False,0.1,0.2776,0.2382,0.2445,0.2397,-0.0776,0.1699,,stage4_8,cost_mechanistic
76,0,F,False,0.1,0.2778,0.2384,0.2438,0.2399,-0.0699,0.1629,,stage4_8,cost_mechanistic
77,0,E,False,-0.25,0.2793,0.2395,0.245,0.2361,-0.4129,0.1216,,stage4_7,cost_mechanistic
78,0,A,False,0.0998,0.2791,0.2396,0.2451,0.2362,-0.0218,0.1194,5.045,stage4_7,cost_mechanistic
79,3,F,True,1.0986,0.2966,0.2429,0.2388,0.2217,0.2813,0.8454,10.282,stage4_7,cost_mechanistic
80,1,F,False,0.1,0.2578,0.2388,0.2316,0.2717,-0.2664,0.3398,,stage4_8,cost_mechanistic
81,2,D,True,1.1,0.2612,0.2576,0.2262,0.255,0.5652,0.5913,,stage4_8,cost_mechanistic
82,0,E,False,-0.25,0.2805,0.2406,0.2461,0.2328,-0.3694,0.0825,,stage4_7,cost_mechanistic
83,0,A,True,1.1,0.2904,0.2372,0.2426,0.2297,1.0175,0.1842,,stage4_8,cost_mechanistic
84,2,E,False,0.05,0.263,0.2594,0.2276,0.2499,-0.5413,0.5372,,stage4_7,cost_mechanistic
85,3,D,True,1.1,0.2955,0.2453,0.2381,0.2211,0.2546,0.8708,,stage4_8,cost_mechanistic
86,0,D,False,0.1,0.2908,0.2365,0.2429,0.2299,-0.0842,0.1758,,stage4_8,cost_mechanistic
87,2,D,True,1.1,0.261,0.2648,0.2261,0.2481,0.5628,0.5935,,stage4_8,cost_mechanistic
88,3,F,True,1.0986,0.2946,0.2446,0.2402,0.2206,0.2277,0.8936,10.282,stage4_7,cost_mechanistic
89,3,F,True,1.1,0.2937,0.244,0.2422,0.2201,0.2064,0.9143,,stage4_8,cost_mechanistic
90,3,E,False,0.05,0.297,0.2462,0.2443,0.2125,-0.8643,0.8278,,stage4_7,cost_mechanistic
91,2,E,True,1.05,0.2595,0.2632,0.2249,0.2524,0.4565,0.6391,,stage4_7,cost_mechanistic
92,2,A,True,1.1,0.2639,0.2615,0.2237,0.2509,0.4609,0.6852,,stage4_8,cost_mechanistic
93,0,A,True,1.1,0.2999,0.2334,0.2397,0.227,0.9242,0.2682,,stage4_8,cost_mechanistic
94,3,F,True,1.0986,0.2958,0.2454,0.2469,0.2119,0.2707,0.8549,10.282,stage4_7,cost_mechanistic
95,0,E,False,-0.25,0.302,0.2347,0.241,0.2223,-0.5182,0.2164,,stage4_7,cost_mechanistic
96,0,A,True,1.1,0.3107,0.2317,0.2379,0.2197,0.8836,0.3048,,stage4_8,cost_mechanistic
97,2,E,False,0.05,0.2661,0.2637,0.2253,0.245,-0.6352,0.6217,,stage4_7,cost_mechanistic
98,1,E,True,1.05,0.2553,0.2366,0.2295,0.2786,0.7102,0.4108,,stage4_7,cost_mechanistic
99,3,A,True,1.1,0.2982,0.2446,0.246,0.2112,0.2451,0.8794,8.706,stage4_7,cost_mechanistic
100,0,A,True,1.1,0.3186,0.2291,0.2351,0.2172,0.7952,0.3843,,stage4_8,cost_mechanistic
101,0,A,False,0.0998,0.3158,0.23,0.2361,0.2181,-0.2845,0.3558,5.045,stage4_7,cost_mechanistic
102,0,E,False,-0.25,0.3185,0.2313,0.2375,0.2127,-0.6058,0.2953,,stage4_7,cost_mechanistic
103,3,E,True,1.05,0.2976,0.2442,0.2456,0.2127,0.1706,0.8965,,stage4_7,cost_mechanistic
104,3,A,True,1.1,0.2996,0.2434,0.2448,0.2122,0.2035,0.9168,6.166,stage4_7,cost_mechanistic
105,3,E,False,0.05,0.3029,0.2455,0.2469,0.2046,-0.8668,0.8301,,stage4_7,cost_mechanistic
106,0,A,False,0.1,0.3165,0.232,0.2382,0.2133,-0.1953,0.2757,,stage4_8,cost_mechanistic
107,1,D,False,0.1,0.2562,0.2338,0.2303,0.2797,-0.3108,0.3797,,stage4_8,cost_mechanistic
108,2,D,True,1.1,0.2643,0.2683,0.224,0.2434,0.4783,0.6695,,stage4_8,cost_mechanistic
109,1,F,False,0.0902,0.2571,0.2345,0.2277,0.2808,-0.2895,0.3508,6.649,stage4_7,cost_mechanistic
110,1,A,True,1.1,0.2642,0.2324,0.2257,0.2777,0.7492,0.4257,4.398,stage4_7,cost_mechanistic
111,0,A,True,1.1,0.3247,0.2292,0.2352,0.2109,0.8243,0.3582,,stage4_8,cost_mechanistic
112,3,E,False,0.05,0.3058,0.2474,0.2488,0.198,-0.7801,0.7521,,stage4_7,cost_mechanistic
113,2,E,True,1.05,0.263,0.2669,0.2231,0.247,0.3805,0.7076,,stage4_7,cost_mechanistic
114,2,D,True,1.1,0.2615,0.2707,0.222,0.2457,0.3924,0.7468,6.599,stage4_7,cost_mechanistic
