step,goal_idx,condition,sr_success,reward_total,prob_A,prob_D,prob_F,prob_E,advantage,baseline,l22_think_phase,data_source,variant
53,3,E,False,0.0,0.2769,0.244,0.2532,0.2258,-0.4901,0.4411,,stage4_7,cost_l22_deflect
54,1,E,False,0.0,0.2604,0.2538,0.2391,0.2466,-0.0799,0.0719,,stage4_7,cost_l22_deflect
55,0,E,False,0.0,0.2718,0.2506,0.2485,0.2291,-0.0861,0.0775,,stage4_7,cost_l22_deflect
56,3,A,True,1.22,0.2845,0.2415,0.2504,0.2236,0.7789,0.519,4.599,stage4_7,cost_l22_deflect
57,1,F,False,0.0,0.2606,0.2541,0.2385,0.2468,-0.0719,0.0648,,stage4_8,cost_l22_deflect
58,1,A,False,0.0,0.26,0.2543,0.2387,0.247,-0.0648,0.0583,,stage4_8,cost_l22_deflect
59,3,A,True,1.0,0.2892,0.2399,0.2487,0.2222,0.481,0.5671,,stage4_8,cost_l22_deflect
60,3,F,True,0.8057,0.2882,0.2392,0.251,0.2216,0.2386,0.591,10.282,stage4_7,cost_l22_deflect
61,2,E,False,0.0,0.2456,0.2777,0.2328,0.2438,-0.388,0.3492,,stage4_7,cost_l22_deflect
62,2,E,False,0.0,0.2467,0.279,0.2338,0.2406,-0.3492,0.3143,,stage4_7,cost_l22_deflect
63,2,E,True,1.0,0.2446,0.2764,0.2319,0.247,0.6857,0.3828,,stage4_7,cost_l22_deflect
64,0,F,False,0.0,0.2721,0.2508,0.2478,0.2293,-0.0775,0.0697,,stage4_8,cost_l22_deflect
65,0,E,False,-0.3,0.2733,0.2519,0.2488,0.226,-0.3697,0.0328,,stage4_7,cost_l22_deflect
66,2,D,True,1.0,0.2426,0.2824,0.2301,0.2449,0.6172,0.4446,,stage4_8,cost_l22_deflect
67,0,D,False,0.0,0.2734,0.2516,0.2489,0.2261,-0.0328,0.0295,,stage4_8,cost_l22_deflect
68,2,F,True,1.0,0.2411,0.2803,0.2352,0.2434,0.5554,0.5001,,stage4_8,cost_l22_deflect
69,2,A,False,0.0,0.2365,0.2822,0.2365,0.2448,-0.5001,0.4501,,stage4_8,cost_l22_deflect
70,1,D,False,0.1124,0.2598,0.2548,0.2385,0.2469,0.0541,0.0637,6.075,stage4_7,cost_l22_deflect
71,0,A,True,1.0,0.2829,0.2482,0.2456,0.2233,0.9705,0.1265,,stage4_8,cost_l22_deflect
72,2,D,True,1.0,0.2347,0.2876,0.2348,0.2429,0.5499,0.5051,,stage4_8,cost_l22_deflect
73,0,A,False,0.0,0.2817,0.2486,0.246,0.2237,-0.1265,0.1139,,stage4_8,cost_l22_deflect
74,1,D,True,0.4755,0.2584,0.2587,0.2373,0.2456,0.4118,0.1049,14.812,stage4_7,cost_l22_deflect
75,3,A,True,1.22,0.2944,0.2371,0.2487,0.2198,0.629,0.6539,4.599,stage4_7,cost_l22_deflect
76,0,D,False,0.0,0.2821,0.2476,0.2464,0.224,-0.1139,0.1025,,stage4_8,cost_l22_deflect
77,2,E,True,1.0,0.2334,0.2856,0.2334,0.2476,0.4949,0.5546,,stage4_7,cost_l22_deflect
78,0,F,False,0.0,0.2825,0.2479,0.2454,0.2242,-0.1025,0.0922,,stage4_8,cost_l22_deflect
79,3,F,True,1.0,0.2929,0.2361,0.252,0.219,0.3461,0.6885,,stage4_8,cost_l22_deflect
80,0,E,False,-0.3,0.2839,0.2489,0.2464,0.2207,-0.3922,0.053,,stage4_7,cost_l22_deflect
81,0,E,False,-0.3,0.2852,0.2499,0.2474,0.2176,-0.353,0.0177,,stage4_7,cost_l22_deflect
