step,goal_idx,condition,sr_success,reward_total,prob_A,prob_D,prob_F,prob_E,advantage,baseline,l22_think_phase,data_source,variant
57,2,D,True,1.0,0.2732,0.2635,0.2208,0.2425,0.5802,0.4778,7.982,stage4_7,cost_asr
58,3,D,False,0.0,0.2826,0.2407,0.2368,0.2398,-0.6902,0.6212,6.343,stage4_7,cost_asr
59,0,F,False,0.0,0.2854,0.2353,0.2456,0.2337,-0.3332,0.2999,,stage4_8,cost_asr
60,3,A,True,1.0,0.2863,0.2395,0.2356,0.2386,0.3788,0.659,,stage4_8,cost_asr
61,3,F,True,1.0,0.285,0.2385,0.2388,0.2377,0.341,0.6931,,stage4_8,cost_asr
62,2,A,True,1.0,0.2783,0.2616,0.2194,0.2408,0.5222,0.5301,8.152,stage4_7,cost_asr
63,1,F,False,0.0,0.2622,0.2502,0.236,0.2516,-0.2357,0.2122,,stage4_8,cost_asr
64,0,E,False,0.0,0.2866,0.236,0.2465,0.2309,-0.2999,0.2699,,stage4_7,cost_asr
65,2,A,True,1.0,0.2829,0.2598,0.2181,0.2393,0.4699,0.577,8.152,stage4_7,cost_asr
66,0,F,False,0.0,0.2877,0.2367,0.244,0.2316,-0.2699,0.2429,6.768,stage4_7,cost_asr
67,0,F,False,0.0,0.2886,0.2374,0.2417,0.2322,-0.2429,0.2186,6.768,stage4_7,cost_asr
68,1,A,True,1.0,0.2697,0.2476,0.2337,0.249,0.7878,0.2909,8.848,stage4_7,cost_asr
69,0,A,True,1.0,0.2963,0.2348,0.2391,0.2298,0.7814,0.2967,6.335,stage4_7,cost_asr
70,2,E,False,0.0,0.2851,0.2616,0.2194,0.234,-0.577,0.5193,,stage4_7,cost_asr
71,2,E,False,0.0,0.287,0.2633,0.2205,0.2292,-0.5193,0.4674,,stage4_7,cost_asr
72,1,A,False,0.0,0.267,0.2486,0.2345,0.25,-0.2909,0.2618,4.782,stage4_7,cost_asr
73,2,F,True,1.0,0.2851,0.2616,0.2253,0.228,0.5326,0.5207,,stage4_8,cost_asr
74,1,E,False,0.0,0.2679,0.2494,0.2352,0.2475,-0.2618,0.2357,,stage4_7,cost_asr
75,2,A,True,1.0,0.2898,0.2598,0.2239,0.2266,0.4793,0.5686,5.957,stage4_7,cost_asr
76,1,F,False,0.0,0.2687,0.2501,0.2331,0.2482,-0.2357,0.2121,16.048,stage4_7,cost_asr
77,2,A,True,1.0,0.294,0.2581,0.2226,0.2253,0.4314,0.6117,,stage4_8,cost_asr
78,3,D,True,1.0,0.2838,0.2414,0.2379,0.2369,0.3069,0.7238,,stage4_8,cost_asr
79,3,F,False,0.0,0.2866,0.2434,0.2313,0.2388,-0.7238,0.6514,,stage4_7,cost_asr
80,3,F,True,1.0,0.2852,0.2424,0.2345,0.2379,0.3486,0.6863,10.282,stage4_7,cost_asr
81,3,E,True,1.0,0.284,0.2415,0.2337,0.2408,0.3137,0.7177,,stage4_7,cost_asr
82,1,A,False,0.0,0.2667,0.2508,0.2337,0.2489,-0.2121,0.1909,,stage4_8,cost_asr
83,0,D,False,0.0,0.2975,0.2321,0.2398,0.2305,-0.2967,0.2671,,stage4_7,cost_asr
84,2,E,False,0.0,0.2964,0.2599,0.2239,0.2198,-0.6117,0.5506,,stage4_7,cost_asr
85,3,F,False,0.0,0.2867,0.2434,0.2272,0.2427,-0.7177,0.6459,6.195,stage4_7,cost_asr
86,0,D,False,0.0,0.2986,0.2297,0.2405,0.2311,-0.2671,0.2404,,stage4_8,cost_asr
87,0,D,False,0.0,0.2996,0.2275,0.2412,0.2317,-0.2404,0.2163,,stage4_8,cost_asr
88,0,E,False,0.0,0.3005,0.228,0.2417,0.2297,-0.2163,0.1947,,stage4_7,cost_asr
89,0,F,False,0.0,0.3014,0.2285,0.2399,0.2302,-0.1947,0.1752,,stage4_8,cost_asr
90,1,A,False,0.0,0.2648,0.2514,0.2343,0.2495,-0.1909,0.1718,,stage4_8,cost_asr
91,1,E,False,0.0,0.2654,0.2519,0.2347,0.2479,-0.1718,0.1546,,stage4_7,cost_asr
